#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Fosl2_glue	Fosl2	0.0	1.0	placeholder
Satb1_glue	Satb1	0.0	1.0	placeholder
Rarg_glue	Rarg	0.0	1.0	placeholder
Prdm14_glue	Prdm14	0.0	1.0	placeholder
Nr1d2_glue	Nr1d2	0.0	1.0	placeholder
Abi3_glue	Abi3	0.0	1.0	placeholder
Hsf4_glue	Hsf4	0.0	1.0	placeholder
Zbtb12_glue	Zbtb12	0.0	1.0	placeholder
Zic2_glue	Zic2	0.0	1.0	placeholder
Zbtb7a_glue	Zbtb7a	0.0	1.0	placeholder
Hsf2_glue	Hsf2	0.0	1.0	placeholder
Hoxb13_glue	Hoxb13	0.0	1.0	placeholder
Cdx2_glue	Cdx2	0.0	1.0	placeholder
Hoxd13_glue	Hoxd13	0.0	1.0	placeholder
Nkx2-5_glue	Nkx2-5	0.0	1.0	placeholder
Rarb_glue	Rarb	0.0	1.0	placeholder
Rxrb_glue	Rxrb	0.0	1.0	placeholder
Rxrg_glue	Rxrg	0.0	1.0	placeholder
Crx_glue	Crx	0.0	1.0	placeholder
Alx4_glue	Alx4	0.0	1.0	placeholder
Lmx1b_glue	Lmx1b	0.0	1.0	placeholder
Batf3_glue	Batf3	0.0	1.0	placeholder
Hand2_glue	Hand2	0.0	1.0	placeholder
Zfp324_glue	Zfp324	0.0	1.0	placeholder
Plagl2_glue	Plagl2	0.0	1.0	placeholder
Glis2_glue	Glis2	0.0	1.0	placeholder
Thrb_glue	Thrb	0.0	1.0	placeholder
Zbtb7b_glue	Zbtb7b	0.0	1.0	placeholder
Zbtb7c_glue	Zbtb7c	0.0	1.0	placeholder
Klf3_glue	Klf3	0.0	1.0	placeholder
E2f7_glue	E2f7	0.0	1.0	placeholder
Tead2_glue	Tead2	0.0	1.0	placeholder
Tead4_glue	Tead4	0.0	1.0	placeholder
Pou4f2_glue	Pou4f2	0.0	1.0	placeholder
Nr2f1_glue	Nr2f1	0.0	1.0	placeholder
Plagl1_glue	Plagl1	0.0	1.0	placeholder
Insm1_glue	Insm1	0.0	1.0	placeholder
Mafb_glue	Mafb	0.0	1.0	placeholder
Cebpg_glue	Cebpg	0.0	1.0	placeholder
Srebf1_glue	Srebf1	0.0	1.0	placeholder
Srebf2_glue	Srebf2	0.0	1.0	placeholder
Irf6_glue	Irf6	0.0	1.0	placeholder
Nrg1_glue	Nrg1	0.0	1.0	placeholder
Rest_glue	Rest	0.0	1.0	placeholder
Zfp454_glue	Zfp454	0.0	1.0	placeholder
Rara_glue	Rara	0.0	1.0	placeholder
Zic5_glue	Zic5	0.0	1.0	placeholder
Ascl1_glue	Ascl1	0.0	1.0	placeholder
Myog_glue	Myog	0.0	1.0	placeholder
Bhlhe22_glue	Bhlhe22	0.0	1.0	placeholder
Rel_glue	Rel	0.0	1.0	placeholder
Rela_glue	Rela	0.0	1.0	placeholder
Nfkb1_glue	Nfkb1	0.0	1.0	placeholder
Nfkb2_glue	Nfkb2	0.0	1.0	placeholder
Lep_glue	Lep	0.0	1.0	placeholder
Irf9_glue	Irf9	0.0	1.0	placeholder
Irf4_glue	Irf4	0.0	1.0	placeholder
Irf5_glue	Irf5	0.0	1.0	placeholder
Sox11_glue	Sox11	0.0	1.0	placeholder
Sox4_glue	Sox4	0.0	1.0	placeholder
Gli1_glue	Gli1	0.0	1.0	placeholder
Gli2_glue	Gli2	0.0	1.0	placeholder
Nfyb_glue	Nfyb	0.0	1.0	placeholder
Gcm1_glue	Gcm1	0.0	1.0	placeholder
Mitf_glue	Mitf	0.0	1.0	placeholder
Bhlhe23_glue	Bhlhe23	0.0	1.0	placeholder
Atoh7_glue	Atoh7	0.0	1.0	placeholder
Neurog1_glue	Neurog1	0.0	1.0	placeholder
Creb1_glue	Creb1	0.0	1.0	placeholder
Zic4_glue	Zic4	0.0	1.0	placeholder
Zic1_glue	Zic1	0.0	1.0	placeholder
Irf2_glue	Irf2	0.0	1.0	placeholder
Sox8_glue	Sox8	0.0	1.0	placeholder
Nr2f2_glue	Nr2f2	0.0	1.0	placeholder
Nr4a1_glue	Nr4a1	0.0	1.0	placeholder
Zfp692_glue	Zfp692	0.0	1.0	placeholder
Trp53_glue	Trp53	0.0	1.0	placeholder
Trp73_glue	Trp73	0.0	1.0	placeholder
Sox17_glue	Sox17	0.0	1.0	placeholder
Ascl2_glue	Ascl2	0.0	1.0	placeholder
Myf6_glue	Myf6	0.0	1.0	placeholder
Nfib_glue	Nfib	0.0	1.0	placeholder
Nkx2-2_glue	Nkx2-2	0.0	1.0	placeholder
Twist1_glue	Twist1	0.0	1.0	placeholder
Rfx6_glue	Rfx6	0.0	1.0	placeholder
Msc_glue	Msc	0.0	1.0	placeholder
Dmrt1_glue	Dmrt1	0.0	1.0	placeholder
Esr2_glue	Esr2	0.0	1.0	placeholder
Tbx19_glue	Tbx19	0.0	1.0	placeholder
Nfatc1_glue	Nfatc1	0.0	1.0	placeholder
Nfatc4_glue	Nfatc4	0.0	1.0	placeholder
Mzf1_glue	Mzf1	0.0	1.0	placeholder
Dlx2_glue	Dlx2	0.0	1.0	placeholder
Dlx5_glue	Dlx5	0.0	1.0	placeholder
Zfp128_glue	Zfp128	0.0	1.0	placeholder
Foxd3_glue	Foxd3	0.0	1.0	placeholder
Pou1f1_glue	Pou1f1	0.0	1.0	placeholder
Meis2_glue	Meis2	0.0	1.0	placeholder
Tfap2b_glue	Tfap2b	0.0	1.0	placeholder
Tfap2e_glue	Tfap2e	0.0	1.0	placeholder
Nfatc2_glue	Nfatc2	0.0	1.0	placeholder
